Price,ID,Eye Colour,Fur,Pattern,Eye Shape,Accent Color,Highlight Color,Mouth,Base Color,Wild Element,Likes,Cooldown,gen
0.04,1343998,dahlia,pixiebob,rascal,thicccbrowz,frosting,swampgreen,rollercoaster,cinderella,,0,Swift Cooldown ,5
0.04,1323962,strawberry,koladiviya,rascal,thicccbrowz,frosting,swampgreen,walrus,brownies,elk,0,Snappy Cooldown ,8
0.04,1340133,downbythebay,selkirk,luckystripe,simple,icy,chocolate,pouty,nachocheez,,0,Swift Cooldown ,4
0.04,1303296,doridnudibranch,fox,tiger,slyboots,azaleablush,lemonade,soserious,tundra,,0,Brisk Cooldown ,11
0.04,1303680,olive,koladiviya,totesbasic,asif,purplehaze,royalpurple,confuzzled,hotcocoa,,0,Brisk Cooldown ,5
0.04,1331699,twilightsparkle,koladiviya,arcreactor,simple,sully,egyptiankohl,soserious,bananacream,,0,Brisk Cooldown ,10
0.04,1333816,doridnudibranch,laperm,totesbasic,simple,seafoam,coffee,pouty,salmon,,0,Swift Cooldown ,3
0.0407,1387801,chestnut,ragdoll,totesbasic,asif,belleblue,royalpurple,delite,firstblush,wyrm,0,Slow Cooldown ,21
0.0415,1324036,cyan,savannah,jaguar,thicccbrowz,granitegrey,swampgreen,grim,bananacream,,0,Swift Cooldown ,2
0.0419,1394909,gold,mekong,spangled,wonky,emeraldgreen,royalpurple,whixtensions,shadowgrey,,0,Brisk Cooldown ,6
0.042,1386737,parakeet,birman,rorschach,wonky,cashewmilk,egyptiankohl,grim,bananacream,,0,Fast Cooldown ,1
0.042,1348195,dahlia,siberian,mittens,chronic,kalahari,coffee,confuzzled,cinderella,,0,Fast Cooldown ,1
0.0423,1337489,sapphire,koladiviya,tiger,sass,atlantis,lilac,moue,cinderella,,0,Swift Cooldown ,2
0.0424,1391324,dahlia,manul,moonrise,drama,sandalwood,royalpurple,wuvme,firstblush,wyrm,0,Slow Cooldown ,20
